original,tok_sent,drug_roa_phrase,roa_detail_1,roa_detail_2,roa_detail_3
"Lozenge (Ginger, Honey, Lemon Flavor)",lozenge ginger honey lemon flavor,,,,
"Solution 
Inhalation",solution inhalation,,,,
Aerosol,aerosol,,,,
Powder For Oral Solution (Orange flavor),powder for oral solution orange flavor,for oral solution orange flavor,['oral'],[],solution
"Topical Ointment (Baby 
Powder Scent)",topical ointment baby powder scent,,,,
Solution (Unscented),solution unscented,,,,
Povidone-Iodine,povidone-iodine,,,,
Throat Spray Solution,throat spray solution,,,,
Solution with Moisturizer (Sweet Pea Scent),solution with moisturizer sweet pea scent,,,,
Tropical Solution,tropical solution,,,,
Solution (with Moisturizer),solution with moisturizer,,,,
LINIMENT,liniment,,,,
Embrocation,embrocation,,,,
Solution (Skin Cleanser),solution skin cleanser,,,,
Oral Antiseptic Solution,oral antiseptic solution,,,,
Paint,paint,,,,
Toothache Drops Solution,toothache drops solution,,,,
Gel-Patch,gel-patch,,,,
Vaginal Douche,vaginal douche,,,,
Solution Moisturizer,solution moisturizer,,,,
Stick,stick,,,,
Surgical Skin Cleanser Solution,surgical skin cleanser solution,,,,
Cone,cone,,,,
(1%) ORAL SOLUTION (GARGLE),oral solution gargle,,,,
Topical  Oil,topical oil,,,,
Solution for Spray,solution for spray,for spray,[],[],spray
Effervsecent Water Purification Tablet,effervsecent water purification tablet,,,,
Medicated Soap,medicated soap,,,,
POWDER,powder,,,,
Surgical Scrub,surgical scrub,,,,
Oral Suspension (Tutti-Frutti flavor),oral suspension tutti-frutti flavor,,,,
V/v Solution,v v solution,,,,
Corn Plaster,corn plaster,,,,
Liquefied Gas,liquefied gas,,,,
Nasal Inhalation,nasal inhalation,,,,
Gaseous Oxygen,gaseous oxygen,,,,
Gas,gas,,,,
Medical Oxygen,medical oxygen,,,,
Medical Gases,medical gases,,,,
Gas For Inhalation,gas for inhalation,for inhalation,[],['inhalation'],
Medical Gas,medical gas,,,,
Liter/Minute,liter minute,,,,
Oxygen Gas,oxygen gas,,,,
Gas For Inhalation/ Na,gas for inhalation na,for inhalation na,[],['inhalation'],
none,none,,,,
Medical Regulator Flow,medical regulator flow,,,,
Hospital Use,hospital use,,,,
Compressed Medical Gas,compressed medical gas,,,,
Na,na,,,,
Powder for injection,powder for injection,for injection,[],['injection'],
Powder for Suspension (Cherry Flavor),powder for suspension cherry flavor,for suspension cherry flavor,[],['suspension'],suspension
Powder for injection (IM/IV),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Powder For Suspension (Pineapple Flavor),powder for suspension pineapple flavor,for suspension pineapple flavor,[],['suspension'],suspension
Powder for suspension,powder for suspension,for suspension,[],['suspension'],suspension
Powder for oral suspension,powder for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Powder for Oral suspension,powder for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Solution For Injection (I.V),solution for injection iv,for injection iv,['iv'],['injection'],
Dry Powder Fo Inhalation In Capsule,dry powder fo inhalation in capsule,,,,
Solution For Injection (IV/IM/SC),solution for injection iv im sc,for injection iv im sc,"['im', 'sc', 'iv']",['injection'],
Suspension (Tutti-Frutti Flavor),suspension tutti-frutti flavor,,,,
Suspension (Oral Drops) (Tutti-Frutti Flavor),suspension oral drops tutti-frutti flavor,,,,
Concentrate Solution For (I.V.) Infusion,concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Lyophilized Powder For Injection (I.V),lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
Syrup (Mentholated Orange Flavor),syrup mentholated orange flavor,,,,
"Chewable Tablet 
(Orange Flavor)",chewable tablet orange flavor,,,,
"Syrup (Oral Drops) (Orange 
Flavor)",syrup oral drops orange flavor,,,,
"Suspension 
(Peppermint Flavor)",suspension peppermint flavor,,,,
Syrup (Oral Drops) (Grape Flavor),syrup oral drops grape flavor,,,,
Concentrate for Solution for Injection (I.V. Infusion),concentrate for solution for injection iv infusion,for solution for injection iv infusion,['iv'],"['infusion', 'injection']",solution
Syrup (Oral Drops) (Cherry Flavor),syrup oral drops cherry flavor,,,,
Throat Spray (Mint Flavor),throat spray mint flavor,,,,
"Chewable Tablet 
(Pineapple Flavor)",chewable tablet pineapple flavor,,,,
Effervescent Granules for Solution,effervescent granules for solution,for solution,[],[],solution
Chewable Tablet (Strawberry Flavor) :,chewable tablet strawberry flavor,,,,
"Oral Suspension 
(Orange Flavor)",oral suspension orange flavor,,,,
"Oral Suspension 
(Peppermint Flavor)",oral suspension peppermint flavor,,,,
Solution For Injection(IM/IV),solution for injectionim iv,for injectionim iv,['iv'],[],
"Concentrated Solution for 
IV Infusion",concentrated solution for iv infusion,for iv infusion,['iv'],['infusion'],
Refer To Generic Name,refer to generic name,,,,
Lyophilized Powder for Solution for Infusion,lyophilized powder for solution for infusion,for solution for infusion,[],['infusion'],solution
Syrup (Apple Flavor),syrup apple flavor,,,,
Syrup (Tutti-Fruitti Flavor),syrup tutti-fruitti flavor,,,,
Sustained-Relase Tablet,sustained-relase tablet,,,,
Tea Bag,tea bag,,,,
"Syrup (Strawberry 
Flavor)",syrup strawberry flavor,,,,
Syrup (oral Drops) (Strawberry Flavor),syrup oral drops strawberry flavor,,,,
Enteric- Coated Tablet,enteric- coated tablet,,,,
Syrup (Vanilla Flavor),syrup vanilla flavor,,,,
Powder for Injection (I.M/I.V.),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
"Solution for Injection for 
I.V. Infusion",solution for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Solution for Injection (I.M./I.V. Infusion),solution for injection im iv infusion,for injection im iv infusion,"['im', 'iv']","['infusion', 'injection']",
Powder For Injection (IMV/IM),powder for injection imv im,for injection imv im,['im'],['injection'],
Concentrated Solution For Iv Infusion,concentrated solution for iv infusion,for iv infusion,['iv'],['infusion'],
Concentrate Solution For I.V Infusion,concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
"Concentrate Solution for 
Injection for I.V. Infusion",concentrate solution for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
"Capsule (containing Clopidogrel immediate-release pellets and 
Aspirin enteric-coated pellets)",capsule containing clopidogrel immediate-release pellets and aspirin enteric-coated pellets,,,,
Solution for Injection IV,solution for injection iv,for injection iv,['iv'],['injection'],
Tea Bag (Sachet),tea bag sachet,,,,
Lyophilised Powder for Concrete for Solution For Infusion (IV),lyophilised powder for concrete for solution for infusion iv,for concrete for solution for infusion iv,['iv'],['infusion'],solution
Solution for Injection (I.V./I.V. Infusion),solution for injection iv iv infusion,for injection iv iv infusion,['iv'],"['infusion', 'injection']",
Solution for Intramuscular Injection,solution for intramuscular injection,for intramuscular injection,['intramuscular'],['injection'],
Film-Coated Sustained-Release Tablet,film-coated sustained-release tablet,,,,
Effervescent tablet,effervescent tablet,,,,
Lyophilized Powder for Injection (IV infusion),lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Oral Solution (Drops),oral solution drops,,,,
Powder for Injection (I.M.I.V.),powder for injection imiv,for injection imiv,[],['injection'],
"Syrup (Oral Drops (Cherry 
Flavor)",syrup oral drops cherry flavor,,,,
Powder for Injection for I.V. Infusion,powder for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Solution for Injection (IM/IV/Rectal),solution for injection im iv rectal,for injection im iv rectal,"['rectal', 'im', 'iv']",['injection'],
"Suspension for Injection (IM, Pre-Filled Syringe)",suspension for injection im pre-filled syringe,for injection im pre-filled syringe,['im'],['injection'],
"Solution for I.V. Injection (I.M./I.V. 
Infusion)",solution for iv injection im iv infusion,for iv injection im iv infusion,"['im', 'iv']","['infusion', 'injection']",
Chewable Tablet (Peppermint Flavor),chewable tablet peppermint flavor,,,,
Oral Disintegrating Strips (Strawberry Flavor),oral disintegrating strips strawberry flavor,,,,
Syrup (Raspberry Flavor),syrup raspberry flavor,,,,
Suspension (Oral Drops) (Strawberry Flavor),suspension oral drops strawberry flavor,,,,
"Pegylated Liposomal 
Concentrate Solution for Injection (IV Infusion)",pegylated liposomal concentrate solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
"Pegylated Liposomal 
Concentrate for Solution for Injection (IV Infusion)",pegylated liposomal concentrate for solution for injection iv infusion,for solution for injection iv infusion,['iv'],"['infusion', 'injection']",solution
"Solution for Injection 
(IM/IV/SC)",solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Powder for Injection (I.M./1.V.),powder for injection im v,for injection im v,['im'],['injection'],
"Sterile 
Ophthalmic Solution",sterile ophthalmic solution,,,,
Capusle,capusle,,,,
"Concentrated Solution for 
Injection (IV Infusion)",concentrated solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Micronized Capsule,micronized capsule,,,,
Ophthalmic / Otic Solution (Drops),ophthalmic otic solution drops,,,,
"Sterile Ophthalmic 
Solution (Eye Drops)",sterile ophthalmic solution eye drops,,,,
"Sterile Ophthalmic Solution (Eye 
Drops)",sterile ophthalmic solution eye drops,,,,
Powder for Injection (I.V/I.M),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Powder for Injection (I.M/I.V.,powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
"Solution for Injection 
(I.M./I.V./S.C.)",solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Suspension For Nebulization,suspension for nebulization,for nebulization,[],[],
Tablet (Non-Drowsy),tablet non-drowsy,,,,
Lyophilized Powder For Injetcion for I.V. Infusion,lyophilized powder for injetcion for iv infusion,for injetcion for iv infusion,['iv'],['infusion'],
Syrup ( Oral Drops),syrup oral drops,,,,
Soution for Injection (IM/IV),soution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Premetered Dose Dry Powder for Inhalation,premetered dose dry powder for inhalation,for inhalation,[],['inhalation'],
"Solution for Injection 
(Intrathecal)",solution for injection intrathecal,for injection intrathecal,['intrathecal'],['injection'],
"Film 
Coated Tablet",film coated tablet,,,,
Pre-Filled Syringe,pre-filled syringe,,,,
Syrup (Vanilla-Strawberry Flavor),syrup vanilla-strawberry flavor,,,,
Concentrate Solution for Injection (IV/Intravesical),concentrate solution for injection iv intravesical,for injection iv intravesical,"['intravesical', 'iv']",['injection'],
Soft gelatin capsule,soft gelatin capsule,,,,
Soft Gelatin Oral Capsule,soft gelatin oral capsule,,,,
Soft gelatin Oral capsule,soft gelatin oral capsule,,,,
Syrup (Strawberry-Banana Flavor),syrup strawberry-banana flavor,,,,
Oral Suspension (Tutti Frutti Flavor),oral suspension tutti frutti flavor,,,,
"Oromucosal Solution 
(Throat Spray) (Mint Flavor)",oromucosal solution throat spray mint flavor,,,,
Solution for Injection (I.M/I.V),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Emulsion for Injection (I.V./Infusion),emulsion for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Powder for Injection (I.M./I.V),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
"Powder for Oral Suspension 
(Raspberry Flavor)",powder for oral suspension raspberry flavor,for oral suspension raspberry flavor,['oral'],['suspension'],suspension
Powder for Injection (I.M. / I.V.),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Lyophilized Powder For Injection (IM/IV),lyophilized powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Syrup (Oral Drops) Banana flavor,syrup oral drops banana flavor,,,,
Chewable Tablet (Cherry Flavor),chewable tablet cherry flavor,,,,
Oral Liquid (Raspberry Flavor),oral liquid raspberry flavor,,,,
Lyophilized Powder For Solution For IV Infusion,lyophilized powder for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Powder for Concentrate Solution IV Infusion,powder for concentrate solution iv infusion,for concentrate solution iv infusion,['iv'],['infusion'],concentrate
Solution for Liposomal Injection (IV),solution for liposomal injection iv,for liposomal injection iv,"['iv', 'liposomal']",['injection'],
Solution for Injection (IV Infusion/SC),solution for injection iv infusion sc,for injection iv infusion sc,"['sc', 'iv']","['infusion', 'injection']",
Syrup(Orange Flavor),syruporange flavor,,,,
Lyophilized Powder For (I.V. Infusion),lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
"Concentrate Solution for Injection 
(IV Infusion)",concentrate solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
"Concentrate Solution for 
Injection (IV/Intravesical)",concentrate solution for injection iv intravesical,for injection iv intravesical,"['intravesical', 'iv']",['injection'],
Powder For Solution For Infusion,powder for solution for infusion,for solution for infusion,[],['infusion'],solution
