original,tok_sent,drug_form_phrase,drug_roa_phrase,form_format,roa_format,roa_detail_1,roa_detail_2
Chewable Tablet (orange flavor),chewable tablet orange flavor,chewable tablet orange flavor,,tablet,,[],[]
Capsule (Equivalent to 726.39mg Calcium Ascorbate),capsule equivalent to mg calcium ascorbate,capsule equivalent to mg calcium ascorbate,,capsule,,[],[]
Otic Solution(Ear Drops Solution),otic solutionear drops solution,otic solutionear drops solution,,drops,,[],[]
Oral Solution (Tutti Frutti Flavor),oral solution tutti frutti flavor,oral solution tutti frutti flavor,,solution,,[],[]
Lyophilized Powder For Injection (IV/IM),lyophilized powder for injection iv im,lyophilized powder,injection iv im,powder,,"['im', 'iv']",['injection']
"Sterile Ophthalmic Solution 
(Drops)",sterile ophthalmic solution drops,sterile ophthalmic solution drops,,solution,,[],[]
"Concentrate for Solution for 
Intravenous Infusion",concentrate for solution for intravenous infusion,concentrate,solution for intravenous infusion,concentrate,solution,['intravenous'],['infusion']
"Concentrate for Solution 
for Intravenous Infusion",concentrate for solution for intravenous infusion,concentrate,solution for intravenous infusion,concentrate,solution,['intravenous'],['infusion']
"Syrup (Oral Drops) 
(Cherry-Orange Flavor)",syrup oral drops cherry-orange flavor,syrup oral drops cherry-orange flavor,,syrup,,[],[]
TOPICAL CREAM,topical cream,topical cream,,cream,,[],[]
"Solution for Injection 
(I.M.)",solution for injection im,solution,injection im,solution,,['im'],['injection']
Syrup (Banana Flavor),syrup banana flavor,syrup banana flavor,,syrup,,[],[]
Concentrate Solution For Intravenous Infusion,concentrate solution for intravenous infusion,concentrate solution,intravenous infusion,concentrate,,['intravenous'],['infusion']
Lyophilized Powder For Injection (I.M./S.C.),lyophilized powder for injection im sc,lyophilized powder,injection im sc,powder,,"['im', 'sc']",['injection']
Pressurized Liquid for Inhalation,pressurized liquid for inhalation,pressurized liquid,inhalation,liquid,,[],['inhalation']
"Lyophilized Powder for Concentrate for 
Solution for I.V. Infusion",lyophilized powder for concentrate for solution for iv infusion,lyophilized powder,concentrate for solution for iv infusion,powder,concentrate,['iv'],['infusion']
"Pressurized 
Liquid for Inhalation",pressurized liquid for inhalation,pressurized liquid,inhalation,liquid,,[],['inhalation']
Solution for Peritoneal Dialysis,solution for peritoneal dialysis,solution,peritoneal dialysis,solution,,['peritoneal'],[]
"Oral Suspension (Banana and Peppermint 
Flavor)",oral suspension banana and peppermint flavor,oral suspension banana and peppermint flavor,,suspension,,[],[]
"Ophthalmic Solution (Eye 
Drops)",ophthalmic solution eye drops,ophthalmic solution eye drops,,solution,,[],[]
"Solution for Injection 
(I.V./I.M.)",solution for injection iv im,solution,injection iv im,solution,,"['im', 'iv']",['injection']
"Solution 
for Injection (IV Infusion)",solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Suspension for Nebulization,suspension for nebulization,suspension,nebulization,suspension,,[],['nebulization']
"Capsule* 
[*Rosuvastatin film-coated tablet enclosed in a hard 
gelatin capsule with the Clopidogrel powder blend]",capsule rosuvastatin film-coated tablet enclosed in a hard gelatin capsule with the clopidogrel powder blend,capsule rosuvastatin film-coated tablet enclosed in a hard gelatin capsule with the clopidogrel powder blend,,capsule,,[],[]
"Solution 
for I.V. Infusion",solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Solution for Injection/Infusion (I.M./I.V.),solution for injection infusion im iv,solution,injection infusion im iv,solution,,"['im', 'iv']","['injection', 'infusion']"
Lyophilized Powder For Solution For I.V Injection,lyophilized powder for solution for iv injection,lyophilized powder,solution for iv injection,powder,solution,['iv'],['injection']
"Dipeptidyl peptidase 4 (DPP-4) inhibitor/ Oral 
Hypoglycemic (Biguanide)",dipeptidyl peptidase dpp- inhibitor oral hypoglycemic biguanide,dipeptidyl peptidase dpp- inhibitor oral hypoglycemic biguanide,,,,[],[]
Sustained-Release Tablets,sustained-release tablets,sustained-release tablets,,tablets,,[],[]
Solution (Toothache Drops),solution toothache drops,solution toothache drops,,solution,,[],[]
"Sterile Solution for 
1.V. Injection",sterile solution for v injection,sterile solution,v injection,solution,,[],['injection']
Plaster,plaster,plaster,,plaster,,[],[]
Film-Coated Tablet (200 mg Daily Dose),film-coated tablet mg daily dose,film-coated tablet mg daily dose,,tablet,,[],[]
Concentrate Solution for IV Infusion : Antineoplastic,concentrate solution for iv infusion antineoplastic,concentrate solution,iv infusion antineoplastic,concentrate,,"['iv', 'antineoplastic']",['infusion']
Metered Dose Inhaler (200 Actuation),metered dose inhaler actuation,metered dose inhaler actuation,,inhaler,,[],[]
Solution For Infusion (IV),solution for infusion iv,solution,infusion iv,solution,,['iv'],['infusion']
Lozenges (Berry Menthol Flavor),lozenges berry menthol flavor,lozenges berry menthol flavor,,lozenges,,[],[]
Syrup (Oral Drops) (Orange Flavor),syrup oral drops orange flavor,syrup oral drops orange flavor,,syrup,,[],[]
Concentrate for Solution for I.V. Infusion,concentrate for solution for iv infusion,concentrate,solution for iv infusion,concentrate,solution,['iv'],['infusion']
"Lozenge (Orange Menthol 
Flavor)",lozenge orange menthol flavor,lozenge orange menthol flavor,,lozenge,,[],[]
Lozenges,lozenges,lozenges,,lozenges,,[],[]
"Suspension 
(Menthol Flavor)",suspension menthol flavor,suspension menthol flavor,,suspension,,[],[]
Powder for Infusion (IV),powder for infusion iv,powder,infusion iv,powder,,['iv'],['infusion']
Lyophilized Powder for Injection (IV/Intravesical),lyophilized powder for injection iv intravesical,lyophilized powder,injection iv intravesical,powder,,"['intravesical', 'iv']",['injection']
"Oral 
Solution (Drops) [Lemon and Peppermint Flavor]",oral solution drops lemon and peppermint flavor,oral solution drops lemon and peppermint flavor,,solution,,[],[]
Film- Coated Tablets,film- coated tablets,film- coated tablets,,tablets,,[],[]
Lozenge (Purple Grape Flavor),lozenge purple grape flavor,lozenge purple grape flavor,,lozenge,,[],[]
Solution for I.V. Infusion (I. V.),solution for iv infusion i v,solution,iv infusion i v,solution,,['iv'],['infusion']
Lyophilized Powder For I.V. Injection &amp; Infusion,lyophilized powder for iv injection amp infusion,lyophilized powder,iv injection amp infusion,powder,,['iv'],"['injection', 'infusion']"
Granules for Solution (Orange Flavor),granules for solution orange flavor,granules,solution orange flavor,granules,solution,[],[]
Syrup (Tuttii-Frutti Flavor),syrup tuttii-frutti flavor,syrup tuttii-frutti flavor,,syrup,,[],[]
Solution for Hemodialysis and Hemofiltration,solution for hemodialysis and hemofiltration,solution,hemodialysis and hemofiltration,solution,,[],[]
"Solution for Injection 
(IV Infusion)",solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Powder for injection (IV),powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Gastro-Resistant Tablet,gastro-resistant tablet,gastro-resistant tablet,,tablet,,[],[]
Lyophilized Powder For Injection (I.V Infusion),lyophilized powder for injection iv infusion,lyophilized powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
"Solution for Injection (IV 
Infusion)",solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Lyophilized Powder for I.V. Injection,lyophilized powder for iv injection,lyophilized powder,iv injection,powder,,['iv'],['injection']
"Lyophilized Powder for Solution for I.V. 
Infusion",lyophilized powder for solution for iv infusion,lyophilized powder,solution for iv infusion,powder,solution,['iv'],['infusion']
Tablet (Strawberry Flavor),tablet strawberry flavor,tablet strawberry flavor,,tablet,,[],[]
Peritoneal Dialysis Solution,peritoneal dialysis solution,peritoneal dialysis solution,,solution,,[],[]
Lyophilized Powder for Intravenous Injection/ Infusion,lyophilized powder for intravenous injection infusion,lyophilized powder,intravenous injection infusion,powder,,['intravenous'],"['injection', 'infusion']"
Lyophilization Powder For Injection (IM/IV),lyophilization powder for injection im iv,lyophilization powder,injection im iv,powder,,"['im', 'iv']",['injection']
"Lozenge (Honey Lemon 
Menthol Flavor)",lozenge honey lemon menthol flavor,lozenge honey lemon menthol flavor,,lozenge,,[],[]
"Lozenge (Berry Menthol 
Flavor)",lozenge berry menthol flavor,lozenge berry menthol flavor,,lozenge,,[],[]
Lyophilized Powder for Injection (S.C./1.V.),lyophilized powder for injection sc v,lyophilized powder,injection sc v,powder,,['sc'],['injection']
"Lyophilized Powder for Injection (1.V. 
Infusion)",lyophilized powder for injection v infusion,lyophilized powder,injection v infusion,powder,,[],"['injection', 'infusion']"
Concentrate For Solution For Infusion,concentrate for solution for infusion,concentrate,solution for infusion,concentrate,solution,[],['infusion']
"Dialysis Solution 
(Intraperitoneal)",dialysis solution intraperitoneal,dialysis solution intraperitoneal,,solution,,[],[]
Solutiuon for Intravenous Infusion,solutiuon for intravenous infusion,solutiuon,intravenous infusion,,,['intravenous'],['infusion']
Suspension pressurized Metered Dose Inhaler,suspension pressurized metered dose inhaler,suspension pressurized metered dose inhaler,,suspension,,[],[]
Solution Metered Dose Inhaler,solution metered dose inhaler,solution metered dose inhaler,,solution,,[],[]
Topical cream,topical cream,topical cream,,cream,,[],[]
Syrup (Blackcurrant Flavor),syrup blackcurrant flavor,syrup blackcurrant flavor,,syrup,,[],[]
Lyophilized Powder for Intravenous (I.V.) Infusion,lyophilized powder for intravenous iv infusion,lyophilized powder,intravenous iv infusion,powder,,"['intravenous', 'iv']",['infusion']
Lyophilized Powder for Injection (I.V./S.C.),lyophilized powder for injection iv sc,lyophilized powder,injection iv sc,powder,,"['sc', 'iv']",['injection']
"Solution for Injection (1. M./1.V.) or 
Concentrate for Solution for I. V. Infusion",solution for injection m v or concentrate for solution for i v infusion,solution,injection m v or concentrate for solution for i v infusion,solution,concentrate,[],"['injection', 'infusion']"
Lyophilized Powder For Injection (I.V/S.C),lyophilized powder for injection iv sc,lyophilized powder,injection iv sc,powder,,"['sc', 'iv']",['injection']
Dialysis Solution for Intraperitoneal,dialysis solution for intraperitoneal,dialysis solution,intraperitoneal,solution,,['intraperitoneal'],[]
"Oral Solution 
(Ginger Lemon Flavor)",oral solution ginger lemon flavor,oral solution ginger lemon flavor,,solution,,[],[]
"Solution for Injection/Infusion 
(I.M./I.V.)",solution for injection infusion im iv,solution,injection infusion im iv,solution,,"['im', 'iv']","['injection', 'infusion']"
Lyophilized Powder for Solution for Injection or Infusion (IV),lyophilized powder for solution for injection or infusion iv,lyophilized powder,solution for injection or infusion iv,powder,solution,['iv'],"['injection', 'infusion']"
Capsule [contains one (1) Film-Coated Tadalafil and Tamsulosin HCl pellets],capsule contains one film-coated tadalafil and tamsulosin hcl pellets,capsule contains one film-coated tadalafil and tamsulosin hcl pellets,,capsule,,[],[]
Oral Drops (Orange Flavor),oral drops orange flavor,oral drops orange flavor,,drops,,[],[]
Film Coated Table,film coated table,film coated table,,,,[],[]
"Solution 
for Injection (IV)",solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Ophthalmic Drop,ophthalmic drop,ophthalmic drop,,drop,,[],[]
Solution for Injection (I.M),solution for injection im,solution,injection im,solution,,['im'],['injection']
Sterile Ophthalmic Solution (eye Drops),sterile ophthalmic solution eye drops,sterile ophthalmic solution eye drops,,solution,,[],[]
Sterile Aqueous Suspension For Injection (Im),sterile aqueous suspension for injection im,sterile aqueous suspension,injection im,suspension,,['im'],['injection']
Intraocular Solution,intraocular solution,intraocular solution,,solution,,[],[]
Liquid (Topical Solution),liquid topical solution,liquid topical solution,,liquid,,[],[]
Solution with moisturizer,solution with moisturizer,solution with moisturizer,,solution,,[],[]
Eye drops,eye drops,eye drops,,drops,,[],[]
Liniment,liniment,liniment,,liniment,,[],[]
Syrup ( Oral Drops ),syrup oral drops,syrup oral drops,,syrup,,[],[]
Liquid Form,liquid form,liquid form,,liquid,,[],[]
Soap,soap,soap,,soap,,[],[]
Timed Release Tablet,timed release tablet,timed release tablet,,tablet,,[],[]
Liniment Oil,liniment oil,liniment oil,,liniment,,[],[]
70% Solution,solution,solution,,solution,,[],[]
Ointment Stick,ointment stick,ointment stick,,stick,,[],[]
